time,vbus,vbat,ibus,iload,ibat
7.4,4.832155,3.955812,0.175665,0.132655,0.021507
7.416667,4.832615,3.95604,0.178498,0.13524,0.023158
7.433333,4.83251,3.949744,0.178893,0.174955,-0.02657
7.45,4.833366,3.94989,0.180873,0.175765,-0.02218
7.466667,4.83341,3.950111,0.181595,0.172767,-0.022206
7.483333,4.834101,3.950452,0.178851,0.173715,-0.020385
7.5,4.834219,3.950388,0.181926,0.173761,-0.019338
7.516667,4.834674,3.950778,0.18319,0.175334,-0.018238
7.533333,4.834898,3.950828,0.18468,0.176334,-0.016667
7.55,4.835271,3.951034,0.185165,0.173186,-0.010369
7.566667,4.835826,3.951375,0.18892,0.173574,-0.013412
7.583333,4.836216,3.951592,0.190734,0.176254,-0.010982
7.6,4.836642,3.951787,0.191755,0.175336,-0.007954
7.616667,4.837055,3.952013,0.192491,0.177229,-0.005551
7.633333,4.837384,3.952208,0.194834,0.175147,-0.007024
7.65,4.836886,3.952391,0.195907,0.172746,-0.004038
7.666667,4.836787,3.952722,0.195869,0.173088,-0.001606
7.683333,4.838644,3.952883,0.197995,0.175161,0.001303
7.7,4.839057,3.953136,0.201346,0.175299,0.001872
7.716667,4.830829,3.953404,0.200335,0.17532,0.004313
7.733333,4.834252,3.953597,0.202602,0.17601,0.004177
7.75,4.832946,3.953832,0.202429,0.175303,0.00662
