time,vbus,vbat,ibus,iloa,ibat
2.733333,4.814304,3.510173,0.682579,0.28227,0.521927
2.75,4.813221,3.511186,0.690163,0.281109,0.53886
2.766667,4.81377,3.511707,0.694766,0.27755,0.543126
2.783333,4.814786,3.511936,0.693509,0.275019,0.544457
2.8,4.817722,3.512256,0.696305,0.275827,0.545825
2.816667,4.817143,3.512285,0.694714,0.279865,0.541931
2.833333,4.81548,3.51225,0.699943,0.279985,0.547245
2.85,4.814583,3.512062,0.697563,0.28351,0.540362
2.866667,4.813366,3.511997,0.694396,0.28163,0.538303
2.883333,4.818235,3.511389,0.685036,0.279778,0.530019
2.9,4.815186,3.511297,0.680852,0.277385,0.523643
2.916667,4.812364,3.510912,0.679336,0.277691,0.520373
2.933333,4.813265,3.510518,0.66847,0.275854,0.514379
2.95,4.813355,3.510048,0.659726,0.274328,0.502696
2.966667,4.816677,3.50903,0.649556,0.271892,0.484939
2.983333,4.817122,3.507651,0.636632,0.276194,0.468662
3,4.813623,3.506736,0.627892,0.27809,0.45885
3.016667,4.813858,3.50557,0.615134,0.275665,0.438726
3.033333,4.811828,3.503838,0.598733,0.277384,0.414177
3.05,4.815035,3.502313,0.582773,0.277337,0.393789
3.066667,4.813654,3.501059,0.568533,0.276098,0.370259
3.083333,4.817416,3.499179,0.550594,0.277775,0.349695
3.1,4.813719,3.497543,0.534643,0.274748,0.327775
3.116667,4.812234,3.495635,0.513734,0.274388,0.30101
3.133333,4.817612,3.493574,0.492057,0.274673,0.271732
3.15,4.813141,3.491539,0.470621,0.272634,0.243857
3.166667,4.816342,3.489729,0.456282,0.27088,0.21987
3.183333,4.817085,3.491359,0.453243,0.25416,0.248164
3.2,4.812266,3.49431,0.46532,0.234322,0.289059
3.216667,4.815332,3.495364,0.47613,0.233237,0.301222
3.233333,4.814937,3.496565,0.483058,0.22854,0.317169
3.25,4.815794,3.497391,0.491101,0.23191,0.333189
3.266667,4.81309,3.497911,0.50212,0.232343,0.342385
3.283333,4.811445,3.498424,0.507197,0.235735,0.351651
3.3,4.814751,3.498946,0.508546,0.230735,0.351734
3.316667,4.815276,3.499414,0.515468,0.232814,0.359064
3.333333,4.815669,3.499519,0.51869,0.235286,0.360542
3.35,4.81131,3.500062,0.521573,0.234968,0.366924
3.366667,4.813525,3.499978,0.517805,0.235549,0.35983
3.383333,4.814103,3.49996,0.513597,0.233385,0.357846
3.4,4.816809,3.499368,0.509809,0.234428,0.351121
3.416667,4.814308,3.499177,0.508873,0.236579,0.349397
3.433333,4.812204,3.498697,0.505334,0.235704,0.342882
3.45,4.813978,3.498062,0.499459,0.23608,0.335202
3.466667,4.816508,3.497496,0.489247,0.231346,0.325024
3.483333,4.81599,3.496524,0.479811,0.229002,0.311902
3.5,4.814716,3.495501,0.465596,0.232149,0.298263
3.516667,4.811213,3.494377,0.458421,0.235151,0.281182
3.533333,4.814309,3.492943,0.445837,0.235615,0.263905
3.55,4.815315,3.491629,0.433284,0.2322,0.243351
3.566667,4.815716,3.49055,0.413445,0.227572,0.231469
3.583333,4.818212,3.488866,0.401886,0.231865,0.205387
3.6,4.813554,3.486752,0.38561,0.236597,0.179912
3.616667,4.814393,3.484911,0.367519,0.235049,0.154668
3.633333,4.813799,3.483051,0.348433,0.231718,0.131014
3.65,4.817714,3.481078,0.327547,0.23311,0.100591
3.666667,4.820331,3.480685,0.324589,0.232169,0.096574
3.683333,4.81535,3.482351,0.343335,0.232542,0.124414
3.7,4.812978,3.483705,0.360648,0.23375,0.14403
3.716667,4.8136,3.485274,0.375832,0.234593,0.164635
3.733333,4.815686,3.486492,0.388903,0.233923,0.183698
3.75,4.816973,3.487916,0.40289,0.233045,0.204319
3.766667,4.813575,3.489128,0.413849,0.233098,0.221593
3.783333,4.814626,3.490445,0.42888,0.233024,0.237048
3.8,4.814608,3.491187,0.436859,0.23442,0.250439
3.816667,4.817402,3.492132,0.442976,0.230894,0.259111
3.833333,4.81767,3.493056,0.449536,0.226878,0.273038
3.85,4.815458,3.493616,0.458534,0.236115,0.282689
3.866667,4.813437,3.494395,0.463442,0.228895,0.291289
3.883333,4.814847,3.494638,0.46816,0.232679,0.297678
3.9,4.816074,3.495,0.46819,0.231162,0.299852
3.916667,4.814822,3.495084,0.468168,0.232104,0.300978
3.933333,4.813912,3.495068,0.471168,0.231374,0.299535
3.95,4.812159,3.495191,0.471437,0.230805,0.303362
3.966667,4.813965,3.494965,0.468895,0.228613,0.296264
3.983333,4.814283,3.494499,0.461905,0.231654,0.288339
4,4.816809,3.494108,0.456752,0.2298,0.28193
4.016667,4.813308,3.493616,0.454512,0.229747,0.278585
4.033333,4.813572,3.493109,0.447854,0.22948,0.271883
4.05,4.815103,3.492039,0.438047,0.229707,0.25515
4.066667,4.81731,3.491074,0.426636,0.231138,0.237682
4.083333,4.814714,3.490033,0.413962,0.230153,0.22478
4.1,4.814136,3.48944,0.413069,0.235887,0.216281
4.116667,4.814086,3.490887,0.427508,0.232799,0.239255
4.133333,4.812708,3.493106,0.448907,0.231073,0.270733
4.15,4.813412,3.495457,0.467745,0.227226,0.299999
4.166667,4.818588,3.497541,0.487642,0.229174,0.330857
4.183333,4.815651,3.499694,0.508579,0.229291,0.36056
4.2,4.813592,3.501181,0.527797,0.233419,0.37768
4.216667,4.812307,3.503079,0.544919,0.22975,0.406432
4.233333,4.814481,3.505004,0.559066,0.226269,0.43175
4.25,4.814605,3.506335,0.573908,0.231555,0.44365
4.266667,4.815192,3.505852,0.587172,0.254784,0.43486
4.283333,4.813022,3.505096,0.603825,0.275221,0.427554
4.3,4.811881,3.506619,0.617216,0.271616,0.446034
4.316667,4.817953,3.50771,0.628413,0.271219,0.459319
4.333333,4.816956,3.508885,0.637078,0.270058,0.473802
4.35,4.814854,3.509982,0.644744,0.271097,0.486223
4.366667,4.812035,3.510738,0.654435,0.268904,0.497974
4.383333,4.813653,3.511566,0.658997,0.271105,0.507538
4.4,4.814289,3.512125,0.666377,0.271074,0.514447
4.416667,4.817234,3.512528,0.667014,0.269656,0.51569
4.433333,4.814889,3.513047,0.669563,0.268243,0.521106
4.45,4.812702,3.513222,0.67446,0.270095,0.521352
4.466667,4.811813,3.513399,0.676565,0.271156,0.528155
4.483333,4.815346,3.513,0.670804,0.272548,0.5208
4.5,4.817629,3.513047,0.667735,0.271797,0.515699
4.516667,4.816263,3.512865,0.66685,0.27136,0.511438
4.533333,4.814667,3.512183,0.661707,0.27281,0.50273
4.55,4.81297,3.511652,0.658412,0.274959,0.497463
4.566667,4.8133,3.511125,0.648872,0.274898,0.488479
4.583333,4.816143,3.510247,0.63807,0.273127,0.468803
4.6,4.816687,3.509606,0.629377,0.272152,0.463024
4.616667,4.814047,3.50885,0.622944,0.271525,0.451315
4.633333,4.81319,3.507584,0.607211,0.272512,0.436334
4.65,4.813311,3.506446,0.59436,0.271148,0.417982
4.666667,4.813276,3.505071,0.582,0.269025,0.397573
4.683333,4.817797,3.503463,0.562893,0.270825,0.376456
4.7,4.813153,3.502027,0.551501,0.27136,0.357805
4.716667,4.811721,3.500297,0.533612,0.274881,0.332879
4.733333,4.811654,3.49941,0.524092,0.270038,0.322813
4.75,4.817815,3.499841,0.527803,0.269991,0.323479
4.766667,4.815798,3.50358,0.546497,0.248716,0.379434
4.783333,4.814026,3.507293,0.565575,0.23079,0.433192
4.8,4.811973,3.509119,0.584215,0.231227,0.457377
4.816667,4.812837,3.510545,0.5996,0.232705,0.479512
4.833333,4.816623,3.511968,0.609817,0.230511,0.492348
4.85,4.816237,3.513184,0.622868,0.233577,0.508808
4.866667,4.814074,3.514588,0.638672,0.234181,0.529658
4.883333,4.812121,3.515769,0.651474,0.233129,0.542986
4.9,4.813239,3.516702,0.66094,0.237893,0.555738
4.916667,4.81465,3.517754,0.665576,0.235704,0.565815
4.933333,4.815749,3.518684,0.672542,0.231326,0.577923
