time,vbus,vbat,ibus,iloa,ibat
2.116667,4.829875,3.595423,0.5214,0.135401,0.491365
2.133333,4.830891,3.59533,0.521912,0.134216,0.493112
2.15,4.83187,3.595013,0.515539,0.133659,0.485976
2.166667,4.832474,3.594935,0.517049,0.134979,0.488996
2.183333,4.829791,3.594917,0.515299,0.133981,0.487584
2.2,4.830264,3.594705,0.514875,0.133297,0.484296
2.216667,4.829864,3.59444,0.511794,0.13624,0.479979
2.233333,4.83218,3.594376,0.511717,0.132797,0.481322
2.25,4.831533,3.594118,0.507653,0.133449,0.476767
2.266667,4.833499,3.593927,0.508583,0.13191,0.477442
2.283333,4.830401,3.593842,0.507259,0.13444,0.475972
2.3,4.828861,3.593797,0.505791,0.132043,0.476104
2.316667,4.831323,3.593524,0.506042,0.135651,0.474618
2.333333,4.832804,3.593362,0.50329,0.135574,0.469041
2.35,4.829177,3.593338,0.504378,0.137314,0.467927
2.366667,4.831581,3.593026,0.501064,0.133396,0.466467
2.383333,4.828777,3.592934,0.499684,0.133827,0.46503
2.4,4.8309,3.592694,0.498797,0.13469,0.462658
2.416667,4.83408,3.592434,0.497787,0.134844,0.458238
2.433333,4.835457,3.592231,0.493432,0.134894,0.457777
2.45,4.832346,3.592198,0.490877,0.133331,0.455575
2.466667,4.828797,3.592023,0.490654,0.135666,0.45887
2.483333,4.830902,3.59182,0.490476,0.134621,0.450539
2.5,4.835396,3.59144,0.488306,0.133884,0.449181
2.516667,4.834348,3.591463,0.488567,0.13265,0.449284
2.533333,4.832451,3.591157,0.484889,0.134359,0.445981
2.55,4.830162,3.591102,0.487798,0.131036,0.44713
2.566667,4.832096,3.590937,0.481227,0.133908,0.445474
2.583333,4.834638,3.59073,0.483788,0.134217,0.439914
2.6,4.835243,3.59049,0.47917,0.13493,0.441682
2.616667,4.834314,3.590227,0.476445,0.134093,0.439154
2.633333,4.832284,3.59013,0.477273,0.135122,0.435062
2.65,4.831341,3.589897,0.474433,0.134581,0.432055
2.666667,4.832842,3.589708,0.472904,0.133066,0.433107
2.683333,4.832081,3.584151,0.470739,0.174759,0.376904
2.7,4.833944,3.583844,0.469151,0.17304,0.374558
2.716667,4.831424,3.583631,0.469834,0.174834,0.370625
2.733333,4.832645,3.583246,0.466149,0.174527,0.36401
2.75,4.834849,3.5831,0.463739,0.174245,0.365594
2.766667,4.834328,3.582815,0.463873,0.174859,0.363935
2.783333,4.831219,3.582698,0.461294,0.175289,0.365489
2.8,4.833089,3.582348,0.459224,0.173606,0.359498
2.816667,4.831782,3.582102,0.456701,0.174209,0.355553
2.833333,4.833595,3.581851,0.455112,0.174679,0.355246
2.85,4.832545,3.581683,0.456555,0.177764,0.352168
2.866667,4.831405,3.581417,0.452268,0.175365,0.35036
2.883333,4.833192,3.58119,0.45053,0.173541,0.348161
2.9,4.830547,3.581058,0.450199,0.174412,0.346229
2.916667,4.834199,3.580799,0.448806,0.17362,0.344399
2.933333,4.8353,3.580539,0.445024,0.174175,0.343449
2.95,4.834364,3.580154,0.442517,0.174393,0.337672
2.966667,4.833941,3.580037,0.443429,0.175438,0.334832
2.983333,4.831349,3.579839,0.442084,0.172893,0.334301
3,4.836036,3.579511,0.438679,0.174046,0.330851
3.016667,4.835686,3.579344,0.438041,0.175565,0.326279
3.033333,4.833814,3.579154,0.434507,0.173017,0.327316
3.05,4.830723,3.578903,0.43509,0.173784,0.322875
3.066667,4.833391,3.578592,0.427284,0.176138,0.322707
3.083333,4.83433,3.578419,0.42951,0.174568,0.318266
3.1,4.832583,3.578181,0.42835,0.175233,0.319678
3.116667,4.8324,3.577896,0.426956,0.176379,0.314832
3.133333,4.831403,3.57764,0.425132,0.17438,0.312568
3.15,4.831411,3.577378,0.423504,0.172595,0.30692
3.166667,4.831572,3.577157,0.421634,0.175447,0.30699
3.183333,4.833531,3.582061,0.41912,0.134959,0.358832
3.2,4.830566,3.581909,0.418424,0.134654,0.354725
3.216667,4.833095,3.58166,0.414333,0.133513,0.354043
3.233333,4.831919,3.581378,0.414158,0.134716,0.354416
3.25,4.83035,3.581256,0.414951,0.133609,0.351494
3.266667,4.835306,3.580978,0.411786,0.136015,0.346561
3.283333,4.836864,3.580677,0.408574,0.134284,0.345232
3.3,4.831002,3.580521,0.404795,0.133749,0.344239
3.316667,4.831396,3.5803,0.403786,0.134205,0.339715
3.333333,4.834999,3.579982,0.401741,0.132149,0.337098
3.35,4.835581,3.579844,0.401014,0.136064,0.335332
3.366667,4.835531,3.579536,0.400491,0.134549,0.335104
3.383333,4.833512,3.579322,0.397064,0.133536,0.329095
3.4,4.833275,3.579074,0.39322,0.132552,0.326832
3.416667,4.832705,3.578844,0.394038,0.132789,0.321177
3.433333,4.834735,3.578594,0.391767,0.133145,0.324619
3.45,4.833548,3.578335,0.389449,0.134272,0.318327
3.466667,4.831768,3.578076,0.387576,0.134104,0.315826
3.483333,4.831573,3.577757,0.385348,0.133123,0.313468
3.5,4.831662,3.577487,0.383458,0.134594,0.313785
3.516667,4.832212,3.577273,0.381276,0.134829,0.311788
3.533333,4.836673,3.576924,0.377928,0.135796,0.308252
3.55,4.830687,3.576674,0.380263,0.133186,0.303828
3.566667,4.830428,3.576481,0.375764,0.134482,0.299041
3.583333,4.830242,3.576169,0.370186,0.133671,0.297603
3.6,4.835275,3.575781,0.369638,0.135353,0.295938
3.616667,4.83354,3.575557,0.368509,0.134912,0.288231
3.633333,4.83045,3.575285,0.363476,0.135677,0.290358
3.65,4.828822,3.574992,0.364372,0.134245,0.28596
3.666667,4.829548,3.574688,0.361272,0.134839,0.285572
3.683333,4.834997,3.574386,0.358637,0.135952,0.282757
3.7,4.834104,3.574124,0.359506,0.136349,0.279343
3.716667,4.835851,3.573777,0.356305,0.134159,0.272357
3.733333,4.832244,3.573491,0.355241,0.132226,0.274413
3.75,4.832257,3.573217,0.35131,0.133538,0.270894
3.766667,4.834569,3.572852,0.351042,0.134202,0.266116
3.783333,4.832274,3.572614,0.347063,0.133197,0.264415
3.8,4.831656,3.572343,0.346988,0.131739,0.26001
3.816667,4.832329,3.572002,0.343614,0.134827,0.2548
3.833333,4.829781,3.571754,0.341989,0.132251,0.257112
3.85,4.831643,3.571428,0.339964,0.13534,0.252412
3.866667,4.834214,3.571095,0.336593,0.134315,0.252042
3.883333,4.829898,3.570768,0.335846,0.134699,0.247482
3.9,4.829624,3.570496,0.335182,0.132576,0.245408
3.916667,4.828906,3.570168,0.330533,0.133592,0.242943
3.933333,4.830716,3.569819,0.328207,0.134229,0.238516
3.95,4.83368,3.569514,0.324807,0.135109,0.231821
3.966667,4.833822,3.569239,0.325158,0.134558,0.234979
3.983333,4.829808,3.568923,0.320333,0.133758,0.229454
4,4.828363,3.568635,0.320968,0.133684,0.226535
4.016667,4.833568,3.568246,0.318482,0.136165,0.223926
4.033333,4.835348,3.567928,0.317385,0.1363,0.221503
4.05,4.834102,3.567604,0.314641,0.136569,0.217071
4.066667,4.83144,3.567331,0.310268,0.133517,0.212068
4.083333,4.833061,3.567042,0.307099,0.131714,0.211644
4.1,4.835705,3.566603,0.304866,0.136539,0.203256
4.116667,4.833825,3.566245,0.302985,0.135033,0.207776
4.133333,4.832527,3.565948,0.302793,0.135502,0.201958
4.15,4.833812,3.565624,0.30096,0.132782,0.199394
4.166667,4.829711,3.565344,0.297739,0.131472,0.196807
4.183333,4.830831,3.565049,0.297778,0.135823,0.195641
4.2,4.830232,3.564717,0.293657,0.132722,0.191885
4.216667,4.832172,3.564284,0.289047,0.1329,0.186973
4.233333,4.828836,3.564071,0.287768,0.13176,0.186261
4.25,4.827997,3.563713,0.286537,0.131628,0.179854
4.266667,4.828649,3.557947,0.285527,0.170843,0.123949
4.283333,4.83255,3.557334,0.283491,0.17688,0.119181
4.3,4.835066,3.557021,0.278564,0.17753,0.117099
4.316667,4.832457,3.556666,0.275653,0.174609,0.11033
4.333333,4.829888,3.556294,0.274819,0.174355,0.108765
4.35,4.832754,3.555955,0.27344,0.175439,0.104812
4.366667,4.834033,3.555595,0.268253,0.176374,0.104781
4.383333,4.835725,3.555241,0.269274,0.173629,0.101786
4.4,4.83525,3.554829,0.266139,0.176855,0.096683
4.416667,4.832376,3.554476,0.262973,0.172646,0.094777
4.433333,4.832712,3.55411,0.260098,0.174427,0.089552
4.45,4.832972,3.553793,0.258118,0.17663,0.089785
4.466667,4.831832,3.553442,0.258951,0.174544,0.085019
4.483333,4.833209,3.553033,0.251912,0.173954,0.081363
4.5,4.829788,3.552691,0.250733,0.174556,0.076782
4.516667,4.82878,3.552326,0.249061,0.171344,0.0741
4.533333,4.829855,3.551959,0.245385,0.177917,0.072216
4.55,4.838091,3.551481,0.24381,0.175608,0.06876
4.566667,4.83755,3.55116,0.242417,0.174074,0.068994
4.583333,4.836729,3.550811,0.241989,0.174133,0.061048
4.6,4.835788,3.550454,0.239742,0.174168,0.057932
4.616667,4.836282,3.550129,0.235839,0.175889,0.055951
4.633333,4.835778,3.549768,0.234027,0.175155,0.054628
4.65,4.837229,3.549312,0.230225,0.174694,0.048388
4.666667,4.834176,3.54897,0.226632,0.175359,0.045758
4.683333,4.833843,3.548643,0.226249,0.175621,0.043536
